Customer_ID,Transaction_ID,Purchase_Date,Purchase_Amount,Payment_Method,Product_Category,Total_Purchases,Average_Order_Value,Repeat_Purchase_Rate,Time_Between_Purchases,Session_Duration,Pages_Visited,Bounce_Rate,Browsing_Frequency,Click_Through_Rate,Ad_Clicks,Product_Link_Clicks,Navigation_Path_Count,Search_Keywords_Count,Search_Frequency,Product_Relevance_Score,Search_to_Purchase_Ratio,Age,Gender,Income_Level,Occupation,Education_Level,Location,Email_Open_Rate,Response_Rate,Chatbot_Interactions,Feedback_Score,Support_Request_Frequency,Customer_Value_Score,Engagement_Score,Loyalty_Score,Churn_Risk_Score,Customer_Segment
CUST_00019,TXN_000019,2024-01-01 18:00:00,21654.06,Credit Card,Toys,110,3236.21,0.975,72,40.94,51,0.036,12,0.438,40,40,7,43,31,0.57,0.653,32,Male,Low,Freelancer,Doctorate,Metro,0.017,0.537,40,2.92,3,70.92,51.68,85.68,23.65,Low_Value_Customer
CUST_00020,TXN_000020,2024-01-01 19:00:00,14632.33,Net Banking,Grocery,20,1231.82,0.93,21,28.93,34,0.911,45,0.58,7,19,12,14,37,0.218,0.698,39,Male,Middle,Business Owner,Bachelor,Semi-Urban,0.809,0.513,13,3.52,4,44.4,45.99,60.63,58.66,Low_Value_Customer
CUST_00021,TXN_000021,2024-01-01 20:00:00,30631.46,Cash on Delivery,Beauty,103,9093.27,0.09,140,73.07,14,0.144,26,0.586,47,67,16,39,45,0.842,0.586,56,Other,Upper Middle,Retired,Diploma,Rural,0.356,0.125,2,2.34,21,56.01,42.45,45.34,51.01,Low_Value_Customer
CUST_00022,TXN_000022,2024-01-01 21:00:00,7060.74,UPI,Home Decor,47,7250.77,0.566,177,28.07,41,0.08,28,0.487,48,31,18,28,50,0.416,0.569,50,Female,Lower Middle,Homemaker,High School,Semi-Urban,0.601,0.765,28,2.41,8,35.24,51.91,48.4,16.68,Low_Value_Customer
CUST_00023,TXN_000023,2024-01-01 22:00:00,14678.02,UPI,Books,114,6471.15,0.316,103,15.37,38,0.797,77,0.537,52,79,35,32,45,0.262,0.537,31,Other,Middle,Employee,High School,Metro,0.526,0.877,6,3.28,4,54.93,51.49,62.29,39.2,Low_Value_Customer
CUST_00024,TXN_000024,2024-01-01 23:00:00,18381.46,UPI,Beauty,77,11439.02,0.717,175,84.05,48,0.042,12,0.307,2,34,32,6,44,0.993,0.391,41,Other,Low,Retired,Bachelor,Metro,0.117,0.147,28,3.1,2,55.76,49.7,66.64,29.0,Low_Value_Customer
CUST_00025,TXN_000025,2024-01-02 00:00:00,22857.89,Credit Card,Electronics,108,14547.97,0.724,98,29.25,43,0.657,57,0.304,37,77,10,17,46,0.649,0.624,39,Female,Middle,Freelancer,Bachelor,Semi-Urban,0.169,0.511,44,3.67,28,68.49,41.94,78.81,65.55,Inactive_Customer
CUST_00026,TXN_000026,2024-01-02 01:00:00,39280.28,Net Banking,Sports,34,7217.19,0.01,62,67.02,28,0.884,4,0.295,33,19,33,21,25,0.814,0.806,55,Female,Upper Middle,Student,Diploma,Metro,0.131,0.576,14,3.55,18,46.85,49.14,28.07,65.22,Inactive_Customer
CUST_00027,TXN_000027,2024-01-02 02:00:00,10063.72,UPI,Home Decor,44,191.71,0.83,38,26.86,41,0.392,84,0.042,23,35,16,24,50,0.223,0.643,57,Male,Low,Employee,Doctorate,Rural,0.238,0.33,18,1.26,8,38.42,29.57,52.33,48.38,Low_Value_Customer
CUST_00028,TXN_000028,2024-01-02 03:00:00,25760.3,Debit Card,Electronics,6,8984.38,0.227,98,16.89,56,0.074,57,0.706,15,37,23,3,39,0.657,0.206,53,Other,High,Employee,High School,Metro,0.834,0.581,48,2.94,25,32.89,54.37,25.53,40.55,Low_Value_Customer
CUST_00029,TXN_000029,2024-01-02 04:00:00,29661.49,Debit Card,Books,56,9844.09,0.947,110,72.41,76,0.215,10,0.142,36,27,30,44,42,0.761,0.291,67,Female,Upper Middle,Employee,Bachelor,Metro,0.882,0.549,35,1.75,2,58.95,61.14,62.96,26.61,Low_Value_Customer
CUST_00030,TXN_000030,2024-01-02 05:00:00,2417.88,Debit Card,Sports,29,12437.47,0.888,154,5.95,65,0.901,49,0.089,54,13,8,4,22,0.348,0.701,69,Male,Upper Middle,Retired,Doctorate,Rural,0.79,0.097,22,2.08,22,32.94,26.62,54.38,78.4,Inactive_Customer
CUST_00031,TXN_000031,2024-01-02 06:00:00,30416.49,Wallet,Sports,97,3071.16,0.195,40,30.55,60,0.447,45,0.365,7,66,1,11,37,0.235,0.095,39,Male,Low,Homemaker,Master,Urban,0.709,0.858,42,3.34,17,59.46,57.81,52.79,41.85,Low_Value_Customer
CUST_00032,TXN_000032,2024-01-02 07:00:00,8609.15,Net Banking,Books,53,7912.48,0.627,144,70.43,13,0.519,47,0.413,34,87,9,21,12,0.782,0.613,33,Female,Middle,Retired,Diploma,Urban,0.743,0.567,15,4.65,17,45.77,48.13,63.79,47.32,Low_Value_Customer
CUST_00033,TXN_000033,2024-01-02 08:00:00,3346.07,Credit Card,Electronics,1,6762.26,0.297,19,46.58,69,0.157,74,0.231,57,27,33,40,16,0.344,0.605,44,Other,Low,Business Owner,High School,Metro,0.3,0.191,7,1.47,20,12.94,45.05,19.52,55.38,Low_Value_Customer
CUST_00034,TXN_000034,2024-01-02 09:00:00,47449.39,Credit Card,Beauty,111,10000.16,0.11,178,62.37,52,0.873,28,0.814,0,70,16,22,8,0.63,0.126,63,Other,Lower Middle,Employee,Diploma,Metro,0.382,0.46,37,3.63,27,74.05,65.42,54.92,69.37,Medium_Value_Customer
CUST_00035,TXN_000035,2024-01-02 10:00:00,48285.04,Net Banking,Grocery,59,1052.75,0.858,29,6.95,43,0.496,12,0.15,9,78,4,3,44,0.801,0.314,55,Male,Low,Employee,Doctorate,Metro,0.91,0.72,39,5.0,7,80.71,37.12,76.53,39.98,High_Value_Customer
CUST_00036,TXN_000036,2024-01-02 11:00:00,40439.03,Cash on Delivery,Home Decor,48,13271.79,0.185,109,67.73,40,0.507,22,0.492,55,24,7,26,50,0.209,0.202,43,Other,Middle,Student,Master,Metro,0.034,0.436,49,2.28,12,50.85,54.51,32.8,48.61,Low_Value_Customer
CUST_00037,TXN_000037,2024-01-02 12:00:00,15300.23,Cash on Delivery,Toys,118,7716.25,0.418,166,16.3,42,0.551,64,0.523,18,6,30,1,30,0.577,0.743,37,Female,Lower Middle,Student,High School,Urban,0.739,0.384,14,1.07,21,51.78,40.33,56.49,56.04,Low_Value_Customer
CUST_00038,TXN_000038,2024-01-02 13:00:00,4973.84,Wallet,Books,7,13167.98,0.906,164,72.97,37,0.731,85,0.561,7,23,3,39,11,0.788,0.898,68,Male,Lower Middle,Student,Diploma,Metro,0.334,0.45,6,4.19,0,35.92,57.11,59.23,42.97,Low_Value_Customer
CUST_00039,TXN_000039,2024-01-02 14:00:00,34243.23,Net Banking,Books,86,5169.53,0.083,85,51.21,23,0.201,45,0.677,24,54,7,35,18,0.233,0.822,36,Male,Middle,Student,Diploma,Rural,0.573,0.587,3,3.78,14,58.47,53.01,47.3,36.37,Low_Value_Customer
CUST_00040,TXN_000040,2024-01-02 15:00:00,22063.61,Cash on Delivery,Sports,32,9837.48,0.544,10,66.79,67,0.896,15,0.737,6,74,26,18,13,0.154,0.47,67,Male,Middle,Retired,Bachelor,Urban,0.869,0.419,10,3.6,29,45.12,68.39,49.09,82.4,Potential_Customer
CUST_00041,TXN_000041,2024-01-02 16:00:00,6189.71,Wallet,Fashion,78,14355.2,0.565,175,19.94,69,0.175,80,0.255,4,63,24,7,63,0.402,0.238,27,Male,Middle,Student,High School,Semi-Urban,0.582,0.346,8,1.77,6,40.44,42.13,54.2,31.02,Low_Value_Customer
CUST_00042,TXN_000042,2024-01-02 17:00:00,24809.33,UPI,Sports,61,14156.35,0.75,172,36.19,79,0.196,64,0.838,11,99,16,25,50,0.849,0.604,26,Male,Low,Retired,High School,Metro,0.275,0.235,30,2.56,1,55.3,61.57,60.59,31.09,Low_Value_Customer
CUST_00043,TXN_000043,2024-01-02 18:00:00,1815.99,UPI,Toys,57,14167.13,0.812,116,72.38,69,0.022,66,0.358,31,78,34,14,37,0.301,0.349,43,Female,Low,Freelancer,Diploma,Metro,0.524,0.836,20,1.82,19,37.22,71.52,58.21,25.08,Potential_Customer
CUST_00044,TXN_000044,2024-01-02 19:00:00,45475.09,Wallet,Grocery,51,739.91,0.421,108,82.06,58,0.029,50,0.669,47,9,8,5,33,0.334,0.055,42,Male,Low,Freelancer,Diploma,Rural,0.329,0.145,40,3.82,28,64.46,61.27,50.82,54.0,Medium_Value_Customer
CUST_00045,TXN_000045,2024-01-02 20:00:00,13013.12,Net Banking,Sports,88,6104.94,0.731,7,21.16,46,0.413,79,0.044,52,92,31,15,42,0.149,0.465,50,Other,Low,Retired,Bachelor,Metro,0.926,0.518,5,2.07,13,51.94,34.3,65.26,49.36,Low_Value_Customer
CUST_00046,TXN_000046,2024-01-02 21:00:00,33159.86,UPI,Fashion,19,1005.64,0.893,19,71.61,47,0.182,79,0.636,41,11,21,43,11,0.332,0.518,46,Other,Middle,Retired,Doctorate,Metro,0.588,0.56,42,1.52,14,50.38,64.48,48.86,40.18,Low_Value_Customer
CUST_00047,TXN_000047,2024-01-02 22:00:00,15654.38,Net Banking,Books,27,4711.21,0.87,110,10.66,17,0.209,87,0.708,17,87,11,46,62,0.586,0.933,53,Other,Low,Employee,Diploma,Metro,0.329,0.591,32,1.06,7,38.29,40.75,47.97,29.31,Low_Value_Customer
CUST_00048,TXN_000048,2024-01-02 23:00:00,26051.39,Cash on Delivery,Beauty,63,2701.21,0.497,33,38.89,9,0.939,82,0.101,7,70,30,46,60,0.831,0.446,47,Female,Middle,Freelancer,Doctorate,Semi-Urban,0.239,0.14,31,4.68,26,57.97,19.64,61.65,88.5,Inactive_Customer
CUST_00049,TXN_000049,2024-01-03 00:00:00,27380.84,UPI,Sports,60,9340.05,0.599,152,84.55,68,0.884,93,0.267,19,28,30,23,35,0.262,0.263,51,Other,Low,Retired,Diploma,Urban,0.306,0.502,37,3.78,3,57.49,63.96,60.36,49.94,Low_Value_Customer
CUST_00050,TXN_000050,2024-01-03 01:00:00,9324.24,Cash on Delivery,Home Decor,61,11733.12,0.663,23,85.12,78,0.313,43,0.386,15,57,11,5,51,0.359,0.536,48,Other,Lower Middle,Employee,Doctorate,Urban,0.151,0.524,8,2.52,18,42.6,70.77,56.91,48.96,Potential_Customer
CUST_00051,TXN_000051,2024-01-03 02:00:00,48482.27,Net Banking,Beauty,61,7748.87,0.805,86,27.4,30,0.333,33,0.652,1,84,38,14,59,0.349,0.208,22,Other,Upper Middle,Business Owner,Master,Urban,0.768,0.879,36,4.6,1,79.09,55.26,72.99,21.34,High_Value_Customer
CUST_00052,TXN_000052,2024-01-03 03:00:00,38779.13,Net Banking,Fashion,87,11952.55,0.503,100,18.17,61,0.285,93,0.455,20,91,12,2,65,0.614,0.752,20,Other,High,Homemaker,Diploma,Semi-Urban,0.543,0.177,25,4.87,23,73.57,39.91,69.84,58.28,Low_Value_Customer
CUST_00053,TXN_000053,2024-01-03 04:00:00,46981.0,Debit Card,Electronics,45,290.92,0.119,110,14.3,65,0.839,37,0.54,1,28,26,43,44,0.588,0.561,56,Female,Middle,Freelancer,Bachelor,Rural,0.944,0.63,27,4.15,5,58.97,53.53,38.64,48.52,Low_Value_Customer
CUST_00054,TXN_000054,2024-01-03 05:00:00,44751.88,Wallet,Sports,21,12325.1,0.384,149,43.8,58,0.102,17,0.32,23,49,28,26,46,0.433,0.114,59,Male,Low,Homemaker,Master,Rural,0.062,0.14,29,4.0,16,56.26,41.79,41.48,44.43,Low_Value_Customer
CUST_00055,TXN_000055,2024-01-03 06:00:00,29935.21,Credit Card,Toys,44,2757.57,0.709,82,9.19,27,0.559,26,0.741,23,47,9,45,37,0.901,0.553,24,Male,High,Student,Bachelor,Urban,0.409,0.595,26,1.88,18,51.77,44.39,50.59,52.16,Low_Value_Customer
CUST_00056,TXN_000056,2024-01-03 07:00:00,46101.52,Wallet,Books,93,6967.94,0.615,102,32.76,66,0.185,43,0.318,45,36,10,49,39,0.784,0.292,33,Other,High,Business Owner,Doctorate,Rural,0.314,0.687,0,1.44,8,72.14,54.85,58.92,26.86,Low_Value_Customer
CUST_00057,TXN_000057,2024-01-03 08:00:00,4515.78,Net Banking,Books,1,6694.53,0.741,91,2.51,45,0.723,58,0.408,45,18,15,3,60,0.57,0.2,50,Female,Upper Middle,Freelancer,High School,Urban,0.047,0.411,6,1.63,16,23.12,35.23,38.08,61.25,Low_Value_Customer
CUST_00058,TXN_000058,2024-01-03 09:00:00,9879.54,Net Banking,Beauty,95,13110.02,0.495,37,24.09,40,0.603,9,0.381,41,93,32,6,30,0.64,0.096,26,Female,Upper Middle,Business Owner,Diploma,Metro,0.038,0.787,38,4.85,17,55.12,48.39,71.76,49.61,Low_Value_Customer
CUST_00059,TXN_000059,2024-01-03 10:00:00,2356.84,Wallet,Sports,91,14493.09,0.179,49,81.12,61,0.375,21,0.67,59,24,12,37,24,0.367,0.918,45,Other,Low,Student,Diploma,Urban,0.926,0.413,25,2.18,12,34.52,68.67,44.6,48.01,Potential_Customer
CUST_00060,TXN_000060,2024-01-03 11:00:00,16333.98,Net Banking,Toys,44,3901.3,0.122,153,40.78,41,0.102,65,0.7,9,29,17,36,14,0.977,0.8,58,Other,Low,Retired,Diploma,Semi-Urban,0.846,0.381,36,2.01,26,30.9,51.17,27.76,45.31,Low_Value_Customer
CUST_00061,TXN_000061,2024-01-03 12:00:00,19495.0,Cash on Delivery,Home Decor,100,1104.46,0.477,39,7.56,74,0.731,63,0.771,42,55,9,25,8,0.367,0.826,21,Female,Lower Middle,Freelancer,High School,Urban,0.273,0.27,12,3.3,23,58.09,51.25,64.75,74.48,Inactive_Customer
CUST_00062,TXN_000062,2024-01-03 13:00:00,13640.32,UPI,Sports,62,9792.77,0.21,30,58.57,42,0.082,73,0.203,43,49,18,6,29,0.668,0.079,63,Female,Low,Student,Diploma,Semi-Urban,0.666,0.881,23,2.16,3,35.73,56.49,37.28,17.27,Low_Value_Customer
CUST_00063,TXN_000063,2024-01-03 14:00:00,41454.0,Net Banking,Beauty,61,7592.32,0.963,43,86.05,62,0.267,27,0.775,9,30,29,1,69,0.845,0.99,26,Other,Low,Freelancer,High School,Semi-Urban,0.921,0.054,23,3.07,20,72.74,64.0,71.66,62.0,Medium_Value_Customer
CUST_00064,TXN_000064,2024-01-03 15:00:00,17901.99,Wallet,Grocery,91,8529.01,0.203,32,42.24,38,0.248,78,0.253,23,22,7,42,9,0.983,0.971,20,Other,Middle,Student,High School,Urban,0.564,0.027,13,3.89,27,51.01,30.61,54.11,68.59,Inactive_Customer
CUST_00065,TXN_000065,2024-01-03 16:00:00,14118.63,Wallet,Beauty,79,789.43,0.56,126,56.56,60,0.554,36,0.748,46,34,25,39,21,0.772,0.74,26,Other,Low,Student,Diploma,Metro,0.6,0.103,0,1.49,10,45.3,55.74,52.89,57.63,Low_Value_Customer
CUST_00066,TXN_000066,2024-01-03 17:00:00,27180.53,Wallet,Fashion,89,11652.12,0.012,95,82.83,49,0.493,59,0.73,57,9,13,27,47,0.148,0.922,38,Male,Upper Middle,Freelancer,Master,Urban,0.515,0.359,41,3.76,3,52.8,65.55,45.24,43.71,Potential_Customer
CUST_00067,TXN_000067,2024-01-03 18:00:00,7132.12,Debit Card,Beauty,112,3562.07,0.256,177,38.3,18,0.273,95,0.392,38,56,37,28,44,0.276,0.852,64,Female,High,Business Owner,High School,Rural,0.274,0.732,2,3.21,24,47.74,44.36,58.96,37.76,Low_Value_Customer
CUST_00068,TXN_000068,2024-01-03 19:00:00,40129.63,Cash on Delivery,Books,79,5090.56,0.261,2,60.15,5,0.415,46,0.681,42,57,12,47,3,0.668,0.717,56,Female,Low,Freelancer,Diploma,Urban,0.269,0.69,38,2.05,27,59.21,52.55,43.73,56.21,Low_Value_Customer
CUST_00069,TXN_000069,2024-01-03 20:00:00,3820.08,Cash on Delivery,Home Decor,104,3502.47,0.726,47,40.22,11,0.42,99,0.634,51,7,35,41,9,0.248,0.408,51,Female,High,Freelancer,Doctorate,Metro,0.473,0.454,19,3.45,25,53.54,41.81,76.62,59.3,Low_Value_Customer
CUST_00070,TXN_000070,2024-01-03 21:00:00,49345.66,Debit Card,Beauty,83,14194.57,0.491,99,86.63,4,0.549,30,0.048,54,47,22,0,53,0.599,0.648,23,Female,Middle,Freelancer,High School,Rural,0.5,0.803,29,4.69,6,79.18,46.59,67.3,34.62,Low_Value_Customer
CUST_00071,TXN_000071,2024-01-03 22:00:00,38635.01,Cash on Delivery,Beauty,111,2613.96,0.022,23,45.84,61,0.854,82,0.032,45,51,15,17,18,0.749,0.747,58,Other,High,Business Owner,High School,Rural,0.385,0.78,4,2.21,27,61.86,52.1,44.31,67.71,Inactive_Customer
CUST_00072,TXN_000072,2024-01-03 23:00:00,10015.91,Debit Card,Home Decor,50,11011.55,0.378,134,79.82,75,0.143,17,0.084,10,5,7,18,30,0.771,0.318,18,Female,High,Business Owner,Bachelor,Metro,0.349,0.067,49,3.5,6,37.57,49.38,47.2,40.55,Low_Value_Customer
CUST_00073,TXN_000073,2024-01-04 00:00:00,375.55,Cash on Delivery,Beauty,75,3761.63,0.635,85,46.14,12,0.534,81,0.807,13,65,38,47,28,0.518,0.453,41,Other,High,Retired,Diploma,Metro,0.896,0.178,42,1.94,25,37.53,41.19,56.98,69.46,Inactive_Customer
CUST_00074,TXN_000074,2024-01-04 01:00:00,40791.53,Debit Card,Books,41,6431.3,0.628,41,60.49,49,0.027,52,0.609,42,55,6,44,11,0.177,0.989,64,Female,Lower Middle,Employee,Bachelor,Rural,0.316,0.296,7,3.08,7,60.6,54.74,52.48,35.62,Low_Value_Customer
CUST_00075,TXN_000075,2024-01-04 02:00:00,35372.18,Debit Card,Home Decor,33,14941.32,0.062,42,35.37,28,0.666,47,0.358,28,99,37,19,7,0.457,0.712,48,Other,Lower Middle,Homemaker,High School,Rural,0.712,0.738,6,3.63,21,45.14,45.97,30.26,56.34,Low_Value_Customer
CUST_00076,TXN_000076,2024-01-04 03:00:00,36477.46,Cash on Delivery,Books,105,1598.59,0.911,72,82.66,34,0.612,92,0.195,6,14,6,29,20,0.322,0.554,23,Other,Upper Middle,Business Owner,Diploma,Urban,0.295,0.382,28,4.3,11,82.9,48.01,88.56,55.13,High_Value_Customer
CUST_00077,TXN_000077,2024-01-04 04:00:00,38586.39,Debit Card,Books,87,13232.25,0.25,167,58.58,56,0.662,88,0.806,11,36,19,29,52,0.858,0.11,30,Other,Low,Retired,High School,Metro,0.446,0.403,35,3.63,25,64.65,64.0,53.52,62.64,Medium_Value_Customer
CUST_00078,TXN_000078,2024-01-04 05:00:00,3794.83,Cash on Delivery,Books,12,14196.14,0.875,138,2.77,65,0.456,37,0.215,16,24,33,6,48,0.935,0.493,26,Female,Lower Middle,Employee,Doctorate,Urban,0.354,0.169,16,4.92,20,37.92,30.68,63.1,59.89,Low_Value_Customer
CUST_00079,TXN_000079,2024-01-04 06:00:00,17987.44,Debit Card,Fashion,2,10503.59,0.217,112,2.39,6,0.186,99,0.467,38,53,5,21,45,0.908,0.07,67,Female,Low,Employee,High School,Urban,0.766,0.219,27,3.61,21,28.26,19.69,27.31,51.22,Low_Value_Customer
CUST_00080,TXN_000080,2024-01-04 07:00:00,5881.87,Wallet,Home Decor,107,248.44,0.561,50,61.18,33,0.431,92,0.214,12,57,33,22,32,0.52,0.753,56,Male,Middle,Retired,Bachelor,Semi-Urban,0.888,0.132,49,2.2,23,48.69,35.96,64.65,67.51,Inactive_Customer
CUST_00081,TXN_000081,2024-01-04 08:00:00,43168.86,Credit Card,Fashion,21,12329.9,0.404,75,11.17,47,0.032,14,0.62,57,78,21,34,63,0.387,0.085,21,Other,High,Homemaker,High School,Urban,0.867,0.245,36,4.5,5,57.05,39.42,44.78,33.77,Low_Value_Customer
CUST_00082,TXN_000082,2024-01-04 09:00:00,31202.58,Cash on Delivery,Fashion,14,13245.85,0.574,136,64.74,24,0.369,36,0.155,49,7,15,14,63,0.836,0.721,32,Other,Upper Middle,Employee,Master,Metro,0.872,0.287,15,1.48,11,41.26,36.53,34.44,45.92,Low_Value_Customer
CUST_00083,TXN_000083,2024-01-04 10:00:00,16611.81,Debit Card,Toys,34,14715.92,0.493,1,29.66,34,0.798,35,0.51,26,6,27,34,44,0.521,0.375,44,Other,High,Homemaker,High School,Urban,0.374,0.645,17,3.04,20,39.11,47.74,44.84,65.19,Inactive_Customer
CUST_00084,TXN_000084,2024-01-04 11:00:00,3271.56,Wallet,Home Decor,79,12605.8,0.012,1,48.96,72,0.328,58,0.556,22,73,30,9,50,0.771,0.061,30,Female,Upper Middle,Student,Master,Rural,0.526,0.039,16,2.82,22,30.74,50.98,37.62,68.59,Inactive_Customer
CUST_00085,TXN_000085,2024-01-04 12:00:00,15618.02,Credit Card,Beauty,85,6739.25,0.351,27,16.52,16,0.566,50,0.82,26,15,5,23,22,0.391,0.207,59,Male,Upper Middle,Student,Doctorate,Metro,0.769,0.815,22,3.23,14,48.89,50.46,54.98,45.53,Low_Value_Customer
CUST_00086,TXN_000086,2024-01-04 13:00:00,16326.65,Debit Card,Sports,64,10360.88,0.021,109,22.91,16,0.255,6,0.516,57,98,23,37,16,0.915,0.622,57,Female,Low,Freelancer,Bachelor,Semi-Urban,0.08,0.372,44,4.01,14,39.88,33.56,39.56,43.38,Low_Value_Customer
