Customer_ID,Purchase_Amount,Total_Purchases,Average_Order_Value,Engagement_Score,Loyalty_Score,Churn_Risk_Score,Customer_Value_Score
76,5243.37,69,377.48,52.09,82.64,43.5,55.28
77,3047.47,50,104.47,88.44,57.22,58.73,33.92
78,1612.8,21,473.39,53.71,55.0,50.63,38.22
79,7474.38,56,100.51,78.7,43.33,67.9,45.85
80,5801.79,34,493.69,21.09,42.92,44.21,65.63
81,8942.48,32,124.72,38.01,29.03,45.34,58.88
82,5823.9,85,440.34,50.42,43.61,27.88,62.19
83,3963.3,85,455.47,47.65,77.78,61.34,62.41
84,8222.31,16,168.46,69.86,75.0,60.0,44.73
85,6246.35,41,311.58,34.58,51.67,70.61,59.15
86,3408.86,30,216.45,80.97,34.72,45.87,33.78
87,1606.21,1,380.17,46.24,86.11,51.17,23.13
88,8955.67,12,389.79,47.1,88.19,48.72,68.12
89,5316.15,33,269.73,41.33,97.22,51.08,38.65
90,988.43,95,421.87,71.88,45.28,78.21,62.0
91,8509.58,25,443.7,26.54,46.25,34.32,59.34
92,1340.42,98,12.18,45.37,100.0,65.67,33.37
93,725.25,50,155.55,46.24,48.06,56.4,22.31
94,658.01,18,98.67,69.11,58.06,35.57,28.87
95,3570.18,77,50.83,39.77,80.56,47.95,51.81
96,507.56,59,91.86,57.6,45.28,58.02,34.7
97,8145.16,85,458.35,46.64,80.56,60.07,72.72
98,4684.05,97,106.4,36.14,23.61,37.66,58.49
99,8526.04,93,472.3,62.79,71.25,30.92,83.76
100,7314.21,65,334.71,32.45,79.86,54.04,63.34
101,5220.63,44,170.41,69.91,97.22,67.38,52.75
102,5346.65,57,495.39,61.89,29.03,16.15,70.2
103,2641.15,3,123.69,28.52,49.03,35.86,25.89
104,6897.4,90,85.13,46.95,48.06,82.09,54.44
105,1209.72,25,430.8,19.32,62.92,14.54,39.36
106,636.84,35,180.49,67.7,71.94,21.97,34.08
107,6155.07,17,243.63,59.41,57.78,44.03,53.26
108,6153.09,57,312.06,67.99,74.72,12.29,60.68
109,5661.27,69,459.13,37.9,48.75,61.53,72.44
110,4805.93,98,30.8,59.26,53.61,74.5,43.92
111,5237.66,14,228.68,36.75,48.89,67.56,33.5
112,4604.31,42,22.81,63.45,77.22,69.07,27.87
113,7110.64,48,311.97,68.2,42.22,38.39,67.56
114,1243.18,69,65.54,36.79,66.11,53.24,26.12
115,7283.92,27,161.25,67.09,46.25,37.24,47.22
116,1721.44,77,267.38,50.42,39.44,39.18,37.09
117,174.13,80,473.89,50.78,62.5,73.64,55.44
118,4229.67,37,256.83,51.28,62.5,54.76,46.0
119,3894.32,38,374.98,69.86,38.06,47.07,51.57
120,7388.3,81,284.12,46.03,79.17,70.07,59.2
121,4997.96,86,79.04,37.0,32.5,26.4,48.74
122,9705.93,63,410.01,45.23,59.86,45.94,66.76
123,2626.98,60,142.25,20.84,88.19,50.5,39.13
124,360.57,54,415.94,70.73,33.89,38.39,50.61
125,2062.32,7,458.78,27.8,53.89,46.71,41.53
126,6712.84,9,147.66,34.22,48.47,33.01,50.99
127,8498.19,77,232.54,56.33,40.83,29.98,78.45
128,7941.47,6,443.52,67.59,62.22,46.12,48.13
129,3875.14,68,365.9,77.94,57.5,37.73,64.65
130,149.47,37,66.68,76.68,46.39,21.59,16.58
131,9076.38,94,468.85,52.29,38.06,42.54,87.85
132,2443.46,76,367.16,33.25,57.22,79.29,44.15
133,8586.01,36,119.74,37.55,62.22,28.61,50.59
134,2013.73,69,35.9,66.43,88.19,63.49,29.19
135,612.5,2,292.14,48.91,77.08,47.86,20.79
136,1385.39,46,143.37,36.39,48.75,64.38,24.72
137,8410.8,43,204.14,61.49,48.89,90.56,50.31
138,3108.89,99,464.73,41.79,79.17,57.64,71.91
139,1296.73,56,315.54,55.07,35.28,26.06,37.39
140,8677.05,45,135.26,82.64,46.11,69.1,56.96
141,5471.47,86,121.5,60.42,40.83,37.15,47.57
142,3905.72,55,447.76,53.85,26.25,26.8,59.58
143,7071.93,40,186.33,48.86,68.75,73.31,56.13
144,9621.38,48,10.31,66.43,54.72,37.98,46.85
145,4172.37,35,151.33,36.03,45.69,44.31,37.55
146,9067.69,97,359.12,70.22,25.56,35.93,73.68
147,3110.05,13,396.77,64.35,55.0,65.56,49.12
148,6876.95,10,47.95,51.28,70.97,49.72,31.04
149,9505.89,38,416.19,61.24,25.56,27.65,74.42
150,9912.97,23,93.81,51.75,42.22,32.25,45.3
151,7478.83,92,144.02,40.03,15.28,49.1,55.61
152,6356.61,9,135.32,63.2,28.33,34.69,30.25
153,7337.12,35,135.34,41.65,18.06,32.65,53.08
154,4976.54,35,68.29,40.32,28.33,49.76,32.52
155,1564.96,62,262.74,53.96,33.89,44.37,34.41
156,9483.24,33,167.0,35.08,40.83,28.77,57.18
157,5836.53,3,273.61,65.07,37.78,70.17,45.84
158,5826.85,34,42.37,44.87,71.67,50.08,35.12
159,6692.45,76,405.08,66.33,48.75,56.45,78.82
160,4187.87,54,90.11,61.43,46.39,45.18,33.74
161,1772.39,36,13.6,46.64,49.03,30.54,21.57
162,7058.31,60,103.68,20.33,46.39,18.37,56.23
163,9677.58,89,79.64,73.4,71.25,18.28,60.81
164,9001.97,59,218.6,66.48,53.89,50.89,71.86
165,9491.37,82,448.31,55.47,45.69,32.43,88.57
166,350.57,68,53.29,54.17,45.69,36.79,29.47
167,198.26,93,221.11,68.71,66.11,62.78,33.99
168,8597.69,60,142.99,50.17,71.53,61.66,62.03
169,3928.04,35,68.79,46.78,73.61,55.2,34.92
170,2799.87,34,350.62,40.03,49.17,27.4,39.5
171,9924.37,27,222.5,21.34,66.11,70.13,56.19
172,4500.05,37,286.8,77.44,43.61,42.95,55.6
173,5596.97,33,454.96,55.47,68.75,65.82,49.69
174,5475.39,40,158.62,43.96,32.5,23.89,54.77
175,9413.41,56,79.65,26.9,54.72,42.47,53.16
176,2823.61,77,399.55,52.19,31.11,26.86,46.71
177,3767.09,55,84.42,34.01,80.0,46.99,36.74
178,4337.68,90,333.85,54.86,69.17,31.45,63.17
179,7121.63,96,451.35,69.72,80.56,52.79,82.57
180,2659.7,86,158.57,50.02,57.78,65.7,38.93
181,5018.47,70,54.52,55.68,59.17,64.85,49.21
182,2535.64,63,111.12,69.21,51.25,40.12,29.75
183,9906.3,96,186.99,70.92,20.83,42.71,73.97
184,5625.28,35,400.16,40.64,62.92,18.56,58.6
185,660.64,68,273.63,71.74,68.75,59.85,38.16
186,6291.77,55,254.17,69.72,65.42,53.46,61.11
187,2485.11,30,51.38,71.13,49.03,19.55,25.86
188,3282.51,71,310.95,39.77,79.17,58.57,42.3
189,662.32,89,33.37,51.49,48.06,69.49,30.58
190,4543.19,99,217.55,66.83,74.44,55.5,61.51
191,9926.1,29,291.07,45.33,32.5,33.99,60.44
192,8543.38,62,50.5,32.85,29.03,40.81,61.49
193,8571.14,37,431.86,66.33,38.06,34.13,65.84
194,9032.46,64,363.09,47.5,37.78,63.26,66.27
195,4980.79,13,343.37,48.36,54.72,55.69,44.91
196,7366.97,84,146.39,52.65,88.89,66.49,57.54
197,570.25,23,181.43,66.18,31.11,28.03,34.1
198,4964.32,80,409.28,64.81,23.61,53.67,72.39
199,7573.35,25,95.78,57.64,26.39,50.48,55.25
200,7371.0,13,269.73,39.37,40.83,30.05,49.73
